epoch,train_loss_all,val_loss_all,train_acc_all,val_acc_all
225,0.1944776675105095,0.17582968533039092,0.98265625,0.98625
226,0.19769400626420974,0.1802285158634186,0.98171875,0.984375
227,0.19943854063749314,0.1796554732322693,0.9809375,0.98375
228,0.19646187454462052,0.17835802912712098,0.98171875,0.98125
229,0.19754312723875045,0.17681264340877534,0.9809375,0.984375
230,0.19412404596805571,0.17390324175357819,0.98203125,0.98625
231,0.1961366692185402,0.17331325709819795,0.97875,0.986875
232,0.1979757660627365,0.17264043033123017,0.97890625,0.98625
233,0.19507811069488526,0.17030557572841645,0.98125,0.98625
234,0.1913857501745224,0.16845133185386657,0.98171875,0.9875
235,0.1896280100941658,0.16877837896347045,0.981875,0.98625
236,0.18877508759498596,0.1782406097650528,0.9815625,0.98125
237,0.19130498707294463,0.16745957911014556,0.98140625,0.988125
238,0.19019359111785888,0.1696018946170807,0.9796875,0.985
239,0.18944235309958457,0.17354668378829957,0.98078125,0.9825
240,0.18875519096851348,0.1730877321958542,0.98078125,0.98375
241,0.1923276674747467,0.16545935809612275,0.98125,0.988125
242,0.18511318504810334,0.16716225445270538,0.98203125,0.9875
243,0.18829603582620622,0.17367260217666625,0.98078125,0.983125
244,0.1850965704023838,0.16381052553653716,0.98328125,0.986875
245,0.18665556788444518,0.16550536036491395,0.98171875,0.98625
246,0.1842974081635475,0.17661343216896058,0.98265625,0.97875
247,0.1874854362010956,0.16434949100017548,0.98140625,0.986875
248,0.18582115083932876,0.16288293838500978,0.98125,0.9875
249,0.19022921204566956,0.16481930315494536,0.98125,0.98375
250,0.186261265873909,0.16132323145866395,0.9803125,0.98625
251,0.18113758832216262,0.16681624054908753,0.98328125,0.9825
252,0.18414456486701966,0.16603398859500884,0.98109375,0.9825
253,0.18103446662425995,0.1590695321559906,0.98203125,0.9875
254,0.17940425604581833,0.15911305367946624,0.9821875,0.9875
255,0.1804273022711277,0.19683467626571655,0.98203125,0.96625
256,0.1756934380531311,0.15672514855861663,0.9840625,0.988125
257,0.17651402026414872,0.16200422406196593,0.98421875,0.985625
258,0.17844474345445632,0.16424184858798982,0.98296875,0.98375
259,0.18191262871026992,0.15818990409374237,0.98265625,0.98625
260,0.17769426554441453,0.15930632054805755,0.98296875,0.986875
